MAE,RMSE,MASE,MAPE,fold,item_id,store_id,model,phase
4.857142857142857,5.644213218610974,2.2402127345250404,18.655500449306434,3,ITEM_010,STORE_02,naive,1
2.5714285714285716,3.7032803990902057,1.111295681063123,14.543226381461677,3,ITEM_010,STORE_03,naive,1
2.5,3.370036032024414,1.0973282442748091,21.717171717171716,4,ITEM_001,STORE_01,naive,1
4.857142857142857,5.503245795502349,1.978995318233582,18.047829291671654,4,ITEM_001,STORE_02,naive,1
3.9285714285714284,4.862392121462145,1.8785268785268783,15.467845377890937,4,ITEM_001,STORE_03,naive,1
1.7857142857142858,2.3145502494313788,0.8356343554715884,21.79530786673644,4,ITEM_002,STORE_01,naive,1
4.071428571428571,4.832922806867792,1.7569016349504152,15.965265631854964,4,ITEM_002,STORE_02,naive,1
3.2857142857142856,4.174754056057845,1.3866317169069462,10.572068338389826,4,ITEM_002,STORE_03,naive,1
3.7142857142857144,4.69041575982343,1.5718228413720596,14.605603726355584,4,ITEM_003,STORE_01,naive,1
5.785714285714286,6.519202405202649,2.7240824681971048,20.1913771183548,4,ITEM_003,STORE_02,naive,1
2.857142857142857,3.7416573867739413,1.2847367686077362,16.246998799519808,4,ITEM_003,STORE_03,naive,1
3.5,3.973123995763823,1.459655485040798,14.699000825982658,4,ITEM_004,STORE_01,naive,1
3.9285714285714284,5.509731650193397,1.8272425249169435,15.44230926483202,4,ITEM_004,STORE_02,naive,1
2.0,2.5071326821120348,0.8534322820037106,18.63997113997114,4,ITEM_004,STORE_03,naive,1
1.6428571428571428,2.052872551885702,0.6990881458966565,26.82333539476397,4,ITEM_005,STORE_01,naive,1
3.857142857142857,5.2508502712826015,1.712630998345284,17.655126310039453,4,ITEM_005,STORE_02,naive,1
2.4285714285714284,2.8535691936340255,1.0353501919766979,23.964368964368962,4,ITEM_005,STORE_03,naive,1
6.0,7.502380574571933,2.4,26.556784008830043,4,ITEM_006,STORE_01,naive,1
1.4285714285714286,1.7728105208558367,0.6130063965884862,21.358482787054214,4,ITEM_006,STORE_02,naive,1
2.5714285714285716,3.3806170189140663,1.081222251240533,15.795168545887254,4,ITEM_006,STORE_03,naive,1
2.5,3.595632271043777,1.0599078341013826,28.875053517910658,4,ITEM_007,STORE_01,naive,1
3.5,4.77343841331532,1.5646258503401362,12.938931383459117,4,ITEM_007,STORE_02,naive,1
3.357142857142857,4.743416490252569,1.4541296744686574,15.086975017132891,4,ITEM_007,STORE_03,naive,1
