fold,item_id,store_id,train_time_s,peak_ram_mb,cpu_percent,converged,error_msg
6,ITEM_006,STORE_02,5.752236,0.0,4.9,True,
6,ITEM_006,STORE_03,3.785445,0.0,20.2,True,
6,ITEM_007,STORE_01,9.486626,0.0,4.0,True,
6,ITEM_007,STORE_02,4.574712,67.59,0.7,True,
6,ITEM_007,STORE_03,2.262485,0.69,0.7,True,
6,ITEM_008,STORE_01,5.058617,0.0,1.5,True,
6,ITEM_008,STORE_02,5.614507,4.39,0.0,True,
6,ITEM_008,STORE_03,3.921823,0.0,0.4,True,
6,ITEM_009,STORE_01,5.586756,64.24,1.7,True,
6,ITEM_009,STORE_02,2.374359,0.63,3.9,True,
6,ITEM_009,STORE_03,4.284664,2.46,5.5,True,
6,ITEM_010,STORE_01,5.470998,0.0,1.7,True,
6,ITEM_010,STORE_02,4.720316,0.0,3.6,True,
6,ITEM_010,STORE_03,4.499067,6.42,1.0,True,
7,ITEM_001,STORE_01,5.323323,0.0,2.6,True,
7,ITEM_001,STORE_02,4.782901,80.79,2.3,True,
7,ITEM_001,STORE_03,4.597759,1.36,2.4,True,
7,ITEM_002,STORE_01,4.995256,0.67,2.5,True,
7,ITEM_002,STORE_02,4.912727,3.39,1.6,True,
7,ITEM_002,STORE_03,5.624776,0.0,1.9,True,
7,ITEM_003,STORE_01,5.011766,0.0,0.9,True,
7,ITEM_003,STORE_02,5.947848,78.21,0.3,True,
7,ITEM_003,STORE_03,5.100168,3.8,34.6,True,
7,ITEM_004,STORE_01,4.870938,7.61,28.8,True,
7,ITEM_004,STORE_02,4.551547,0.0,25.1,True,
7,ITEM_004,STORE_03,5.302318,0.0,35.4,True,
7,ITEM_005,STORE_01,5.477509,0.0,21.9,True,
7,ITEM_005,STORE_02,4.493032,88.47,21.5,True,
7,ITEM_005,STORE_03,5.450853,9.32,4.3,True,
7,ITEM_006,STORE_01,2.220408,0.63,1.4,True,
7,ITEM_006,STORE_02,5.225794,0.0,1.5,True,
7,ITEM_006,STORE_03,4.174184,3.82,1.1,True,
7,ITEM_007,STORE_01,10.210477,0.0,1.7,True,
7,ITEM_007,STORE_02,4.371282,100.05,2.1,True,
7,ITEM_007,STORE_03,2.176654,0.63,0.7,True,
7,ITEM_008,STORE_01,4.381154,1.7,0.7,True,
7,ITEM_008,STORE_02,5.779858,0.0,2.2,True,
7,ITEM_008,STORE_03,8.77452,11.97,3.7,True,
7,ITEM_009,STORE_01,6.191195,0.0,2.0,True,
7,ITEM_009,STORE_02,2.466365,53.35,0.0,True,
7,ITEM_009,STORE_03,4.429652,43.39,0.4,True,
7,ITEM_010,STORE_01,5.273732,2.38,6.5,True,
7,ITEM_010,STORE_02,5.082265,2.25,4.9,True,
7,ITEM_010,STORE_03,4.299574,4.52,2.2,True,
